site_no,station_nm,dec_lat_va,dec_long_va
04024000,"ST. LOUIS RIVER AT SCANLON, MN",46.70327650,-92.41880180
04027000,"BAD RIVER NEAR ODANAH, WI",46.48661440,-90.69629700
04040000,"ONTONAGON RIVER NEAR ROCKLAND, MI",46.72077420,-89.20708600
04059500,"FORD RIVER NEAR HYDE, MI",45.75496740,-87.20207930
04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",45.32583330,-87.66333330
04085138,"EAST RIVER AT GREEN BAY, WI",44.50915930,-87.99177020
04085427,"MANITOWOC RIVER AT MANITOWOC, WI",44.10616667,-87.71602780
04087170,"MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI",43.02444444,-87.89833330
04092750,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",41.64920230,-87.46865290
04101500,"ST. JOSEPH RIVER AT NILES, MI",41.82921380,-86.25973250
04108660,"KALAMAZOO RIVER AT NEW RICHMOND, MI",42.65085976,-86.10670300
04119400,"GRAND RIVER NEAR EASTMANVILLE, MI",43.02418840,-86.02643540
04142000,"RIFLE RIVER NEAR STERLING, MI",44.07252030,-84.01999390
04157005,"SAGINAW RIVER AT HOLLAND AVENUE AT SAGINAW, MI",43.42196990,-83.95191800
04165500,"CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS, MI",42.59586740,-82.90881000
04166500,"RIVER ROUGE AT DETROIT, MI",42.37309230,-83.25465130
04176500,"RIVER RAISIN NEAR MONROE, MI",41.96060080,-83.53104619
04193500,Maumee River at Waterville OH,41.50005260,-83.71271450
04199000,Huron River at Milan OH,41.30088520,-82.60823260
04199500,Vermilion River near Vermilion OH,41.38199000,-82.31682730
04200500,Black River at Elyria OH,41.38032368,-82.10459279
04208000,Cuyahoga River at Independence OH,41.39533087,-81.62984780
04212100,Grand River near Painesville OH,41.71893390,-81.22787890
04213500,CATTARAUGUS CREEK AT GOWANDA NY,42.46333330,-78.93416670
04231600,"GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY",43.14172220,-77.61630560
04249000,"OSWEGO RIVER AT LOCK 7, OSWEGO NY",43.45166667,-76.50527778